matelda_index,col
550,city
0,ounces
1,ounces
2,ounces
3,ounces
4,ounces
5,ounces
6,ounces
7,ounces
8,ounces
9,ounces
10,ounces
11,ounces
12,ounces
13,ounces
14,ounces
15,ounces
16,ounces
17,ounces
18,ounces
19,ounces
20,ounces
21,ounces
22,ounces
23,ounces
24,ounces
25,ounces
26,ounces
27,ounces
28,ounces
29,ounces
30,ounces
31,ounces
32,ounces
33,ounces
34,ounces
35,ounces
36,ounces
37,ounces
38,ounces
39,ounces
40,ounces
41,ounces
42,ounces
43,ounces
44,ounces
45,ounces
46,ounces
47,ounces
48,ounces
49,ounces
50,ounces
51,ounces
52,ounces
53,ounces
54,ounces
55,ounces
56,ounces
57,ounces
58,ounces
59,ounces
60,ounces
61,ounces
62,ounces
63,ounces
64,ounces
65,ounces
66,ounces
67,ounces
68,ounces
69,ounces
70,ounces
71,ounces
72,ounces
73,ounces
74,ounces
75,ounces
76,ounces
77,ounces
78,ounces
79,ounces
80,ounces
81,ounces
82,ounces
83,ounces
84,ounces
85,ounces
86,ounces
87,ounces
88,ounces
89,ounces
90,ounces
91,ounces
92,ounces
93,ounces
94,ounces
95,ounces
96,ounces
97,ounces
98,ounces
99,ounces
100,ounces
101,ounces
102,ounces
103,ounces
104,ounces
105,ounces
106,ounces
107,ounces
108,ounces
109,ounces
110,ounces
111,ounces
112,ounces
113,ounces
114,ounces
115,ounces
116,ounces
117,ounces
118,ounces
119,ounces
120,ounces
121,ounces
122,ounces
123,ounces
124,ounces
125,ounces
126,ounces
127,ounces
128,ounces
129,ounces
130,ounces
131,ounces
132,ounces
133,ounces
134,ounces
135,ounces
136,ounces
137,ounces
138,ounces
139,ounces
140,ounces
141,ounces
142,ounces
143,ounces
144,ounces
145,ounces
146,ounces
147,ounces
148,ounces
149,ounces
150,ounces
151,ounces
152,ounces
153,ounces
154,ounces
155,ounces
156,ounces
157,ounces
158,ounces
159,ounces
160,ounces
161,ounces
162,ounces
163,ounces
164,ounces
165,ounces
166,ounces
167,ounces
168,ounces
169,ounces
170,ounces
171,ounces
172,ounces
173,ounces
174,ounces
175,ounces
176,ounces
177,ounces
178,ounces
179,ounces
180,ounces
181,ounces
182,ounces
183,ounces
184,ounces
185,ounces
186,ounces
187,ounces
188,ounces
189,ounces
190,ounces
191,ounces
192,ounces
193,ounces
194,ounces
195,ounces
196,ounces
197,ounces
198,ounces
199,ounces
200,ounces
201,ounces
202,ounces
203,ounces
204,ounces
205,ounces
206,ounces
207,ounces
208,ounces
209,ounces
210,ounces
211,ounces
212,ounces
213,ounces
214,ounces
215,ounces
216,ounces
217,ounces
218,ounces
219,ounces
220,ounces
221,ounces
222,ounces
223,ounces
224,ounces
225,ounces
226,ounces
227,ounces
228,ounces
229,ounces
230,ounces
231,ounces
232,ounces
233,ounces
234,ounces
235,ounces
236,ounces
237,ounces
238,ounces
239,ounces
240,ounces
241,ounces
242,ounces
243,ounces
244,ounces
245,ounces
246,ounces
247,ounces
248,ounces
249,ounces
250,ounces
251,ounces
252,ounces
253,ounces
254,ounces
255,ounces
256,ounces
257,ounces
258,ounces
259,ounces
260,ounces
261,ounces
262,ounces
263,ounces
264,ounces
265,ounces
266,ounces
267,ounces
268,ounces
269,ounces
270,ounces
271,ounces
272,ounces
273,ounces
274,ounces
275,ounces
276,ounces
277,ounces
278,ounces
279,ounces
280,ounces
281,ounces
282,ounces
283,ounces
284,ounces
285,ounces
286,ounces
287,ounces
288,ounces
289,ounces
290,ounces
291,ounces
292,ounces
293,ounces
294,ounces
295,ounces
296,ounces
297,ounces
298,ounces
299,ounces
300,ounces
301,ounces
302,ounces
303,ounces
304,ounces
305,ounces
306,ounces
307,ounces
308,ounces
309,ounces
310,ounces
311,ounces
312,ounces
313,ounces
314,ounces
315,ounces
316,ounces
317,ounces
318,ounces
319,ounces
320,ounces
321,ounces
322,ounces
323,ounces
324,ounces
325,ounces
326,ounces
327,ounces
328,ounces
329,ounces
330,ounces
331,ounces
332,ounces
333,ounces
334,ounces
335,ounces
336,ounces
337,ounces
338,ounces
339,ounces
340,ounces
341,ounces
342,ounces
343,ounces
344,ounces
345,ounces
346,ounces
347,ounces
348,ounces
349,ounces
350,ounces
351,ounces
352,ounces
353,ounces
354,ounces
355,ounces
356,ounces
357,ounces
358,ounces
359,ounces
360,ounces
361,ounces
362,ounces
363,ounces
364,ounces
365,ounces
366,ounces
367,ounces
368,ounces
369,ounces
370,ounces
371,ounces
372,ounces
373,ounces
374,ounces
375,ounces
376,ounces
377,ounces
378,ounces
379,ounces
380,ounces
381,ounces
382,ounces
383,ounces
384,ounces
385,ounces
386,ounces
387,ounces
388,ounces
389,ounces
390,ounces
391,ounces
392,ounces
393,ounces
394,ounces
395,ounces
396,ounces
397,ounces
398,ounces
399,ounces
400,ounces
401,ounces
402,ounces
403,ounces
404,ounces
405,ounces
406,ounces
407,ounces
408,ounces
409,ounces
410,ounces
411,ounces
412,ounces
413,ounces
414,ounces
415,ounces
416,ounces
417,ounces
418,ounces
419,ounces
420,ounces
421,ounces
422,ounces
423,ounces
424,ounces
425,ounces
426,ounces
427,ounces
428,ounces
429,ounces
430,ounces
431,ounces
432,ounces
433,ounces
434,ounces
435,ounces
436,ounces
437,ounces
438,ounces
439,ounces
440,ounces
441,ounces
442,ounces
443,ounces
444,ounces
445,ounces
446,ounces
447,ounces
448,ounces
449,ounces
450,ounces
451,ounces
452,ounces
453,ounces
454,ounces
455,ounces
456,ounces
457,ounces
458,ounces
459,ounces
460,ounces
461,ounces
462,ounces
463,ounces
464,ounces
465,ounces
466,ounces
467,ounces
468,ounces
469,ounces
470,ounces
471,ounces
472,ounces
473,ounces
474,ounces
475,ounces
476,ounces
477,ounces
478,ounces
479,ounces
480,ounces
481,ounces
482,ounces
483,ounces
484,ounces
485,ounces
486,ounces
487,ounces
488,ounces
489,ounces
490,ounces
491,ounces
492,ounces
493,ounces
494,ounces
495,ounces
496,ounces
497,ounces
498,ounces
499,ounces
500,ounces
501,ounces
502,ounces
503,ounces
504,ounces
505,ounces
506,ounces
507,ounces
508,ounces
509,ounces
510,ounces
511,ounces
512,ounces
513,ounces
514,ounces
515,ounces
516,ounces
517,ounces
518,ounces
519,ounces
520,ounces
521,ounces
522,ounces
523,ounces
524,ounces
525,ounces
526,ounces
527,ounces
528,ounces
529,ounces
530,ounces
531,ounces
532,ounces
533,ounces
534,ounces
535,ounces
536,ounces
537,ounces
538,ounces
539,ounces
540,ounces
541,ounces
542,ounces
543,ounces
544,ounces
545,ounces
546,ounces
547,ounces
548,ounces
549,ounces
550,ounces
551,ounces
552,ounces
553,ounces
554,ounces
555,ounces
556,ounces
557,ounces
558,ounces
559,ounces
560,ounces
561,ounces
562,ounces
563,ounces
564,ounces
565,ounces
566,ounces
567,ounces
568,ounces
569,ounces
570,ounces
571,ounces
572,ounces
573,ounces
574,ounces
575,ounces
576,ounces
577,ounces
578,ounces
579,ounces
580,ounces
581,ounces
582,ounces
583,ounces
584,ounces
585,ounces
586,ounces
587,ounces
588,ounces
589,ounces
590,ounces
591,ounces
592,ounces
593,ounces
594,ounces
595,ounces
596,ounces
597,ounces
598,ounces
599,ounces
600,ounces
601,ounces
602,ounces
603,ounces
604,ounces
605,ounces
606,ounces
607,ounces
608,ounces
609,ounces
610,ounces
611,ounces
612,ounces
613,ounces
614,ounces
615,ounces
616,ounces
617,ounces
618,ounces
619,ounces
620,ounces
621,ounces
622,ounces
623,ounces
624,ounces
625,ounces
626,ounces
627,ounces
628,ounces
629,ounces
630,ounces
631,ounces
632,ounces
633,ounces
634,ounces
635,ounces
636,ounces
637,ounces
638,ounces
639,ounces
640,ounces
641,ounces
642,ounces
643,ounces
644,ounces
645,ounces
646,ounces
647,ounces
648,ounces
649,ounces
650,ounces
651,ounces
652,ounces
653,ounces
654,ounces
655,ounces
656,ounces
657,ounces
658,ounces
659,ounces
660,ounces
661,ounces
662,ounces
663,ounces
664,ounces
665,ounces
666,ounces
667,ounces
668,ounces
669,ounces
670,ounces
671,ounces
672,ounces
673,ounces
674,ounces
675,ounces
676,ounces
677,ounces
678,ounces
679,ounces
680,ounces
681,ounces
682,ounces
683,ounces
