matelda_index,col
1,article_jissue
16,article_jissue
33,article_jissue
47,article_jissue
55,article_jissue
64,article_jissue
65,article_jissue
122,article_jissue
157,article_jissue
175,article_jissue
181,article_jissue
196,article_jissue
197,article_jissue
200,article_jissue
209,article_jissue
237,article_jissue
240,article_jissue
297,article_jissue
312,article_jissue
323,article_jissue
331,article_jissue
340,article_jissue
353,article_jissue
356,article_jissue
360,article_jissue
365,article_jissue
421,article_jissue
436,article_jissue
445,article_jissue
446,article_jissue
473,article_jissue
512,article_jissue
532,article_jissue
533,article_jissue
549,article_jissue
550,article_jissue
604,article_jissue
642,article_jissue
704,article_jissue
712,article_jissue
744,article_jissue
768,article_jissue
771,article_jissue
791,article_jissue
861,article_jissue
862,article_jissue
887,article_jissue
899,article_jissue
968,article_jissue
972,article_jissue
975,article_jissue
977,article_jissue
997,article_jissue
